ID,Language,Form,Cognate Set,Concept,Source
252,Cabécar,kàɺdʒakà,c,FOREST,Constenla Umaña 2005
253,Teribe,ɸʊ́,ch,FOREST,Constenla Umaña 2005
254,Ngäbere,kɔtuguɔ,,FOREST,Constenla Umaña 2005
255,Boruca,glínaŋa,,FOREST,Constenla Umaña 2005
256,Dorasque,kalkalgó,d,FOREST,Constenla Umaña 2005
257,San Blas Kuna,sappuɾu,,FOREST,Constenla Umaña 2005
258,Cogui,kal'kala,d,FOREST,Constenla Umaña 2005
259,Ika,'kənkəni,d,FOREST,Constenla Umaña 2005
260,Damana,kɨnkɨna,d,FOREST,Constenla Umaña 2005
261,Chimila,ɾuhŋa,,FOREST,Constenla Umaña 2005
262,Chibcha,kɨe,,FOREST,Constenla Umaña 2005
263,Central Tunebo,'bowaɾa,ch,FOREST,Constenla Umaña 2005
264,Barí,kaikbé,,FOREST.,Constenla Umaña 2005
265,Lenca-Salvador,ʃam,a,GOOD,Constenla Umaña 2005
266,Lenca-Honduras,sa,a,GOOD,Constenla Umaña 2005
267,Cacaopera,kua,,GOOD,Constenla Umaña 2005
268,Mayangna,jamni,a,GOOD,Constenla Umaña 2005
269,Ulua,jamka,a,GOOD,Constenla Umaña 2005
270,Mískito,jamni,a,GOOD,Constenla Umaña 2005
271,Pech,ã́jjã̀,b,GOOD,Constenla Umaña 2005
272,Rama,mali:ma,,GOOD,Constenla Umaña 2005
273,Maléku Jaíka,maɾa:la:ɸaɾiŋa:,,GOOD,Constenla Umaña 2005
274,Boruca,mòɾéŋ,,GOOD,Constenla Umaña 2005
275,Bribri,buǎʔ,,GOOD,Constenla Umaña 2005
276,Cabécar,bʊ́ɪ,,GOOD,Constenla Umaña 2005
277,Teribe,kʰóbe,,GOOD,Constenla Umaña 2005
278,Ngäbere,kɔ̃ɪ̃,,GOOD,Constenla Umaña 2005
279,Boruca,no,c,GOOD,Constenla Umaña 2005
280,Dorasque,apé,,GOOD,Constenla Umaña 2005
281,San Blas Kuna,nueti,c,GOOD,Constenla Umaña 2005
282,Cogui,hantʃi'dʒe,,GOOD,Constenla Umaña 2005
283,Ika,du kawa,,GOOD,Constenla Umaña 2005
284,Damana,ʒi'koka,,GOOD,Constenla Umaña 2005
285,Chimila,be: ŋatte,,GOOD,Constenla Umaña 2005
286,Chibcha,tʲo,,GOOD,Constenla Umaña 2005
287,Central Tunebo,'aj,b,GOOD,Constenla Umaña 2005
288,Barí,sabãĩnĩ,,GOOD,Constenla Umaña 2005
289,Lenca-Salvador,alah,a,HAIR,Constenla Umaña 2005
290,Lenca-Honduras,asa,a,HAIR,Constenla Umaña 2005
291,Cacaopera,kili,,HAIR,Constenla Umaña 2005
292,Mayangna,bas,b,HAIR,Constenla Umaña 2005
293,Ulua,bas,b,HAIR,Constenla Umaña 2005
294,Mískito,tãwa,,HAIR,Constenla Umaña 2005
295,Pech,ṹs,,HAIR,Constenla Umaña 2005
296,Rama,uli:s,,HAIR,Constenla Umaña 2005
297,Maléku Jaíka,i:ɬa,,HAIR,Constenla Umaña 2005
298,Boruca,ʃíxtkà,,HAIR,Constenla Umaña 2005
299,Bribri,tsã́,c,HAIR,Constenla Umaña 2005
300,Cabécar,tsã́kṹ kʊ,,HAIR,Constenla Umaña 2005
301,Teribe,kóŋzò,c,HAIR,Constenla Umaña 2005
302,Ngäbere,dokwɔdɾɯ,,HAIR,Constenla Umaña 2005
303,Boruca,tʃugaga,,HAIR,Constenla Umaña 2005
304,Dorasque,ogá,,HAIR,Constenla Umaña 2005
305,San Blas Kuna,saila,c,HAIR,Constenla Umaña 2005
306,Cogui,'sãĩ,c,HAIR,Constenla Umaña 2005
307,Ika,'sagənɨ,c,HAIR,Constenla Umaña 2005
308,Damana,ʃa,c,HAIR,Constenla Umaña 2005
309,Chimila,'a,,HAIR,Constenla Umaña 2005
310,Chibcha,tsɨe,c,HAIR,Constenla Umaña 2005
311,Central Tunebo,ana'ɾa,,HAIR,Constenla Umaña 2005
312,Barí,kã:tũ,,HAIR,Constenla Umaña 2005
313,Lenca-Salvador,oso,,HEAD,Constenla Umaña 2005
314,Lenca-Honduras,tɾoh,a,HEAD,Constenla Umaña 2005
315,Cacaopera,wara,,HEAD,Constenla Umaña 2005
316,Mayangna,tun,a,HEAD,Constenla Umaña 2005
317,Ulua,tun,a,HEAD,Constenla Umaña 2005
318,Mískito,lal,,HEAD,Constenla Umaña 2005
319,Pech,sã́,b,HEAD,Constenla Umaña 2005
320,Rama,ki:ŋ,,HEAD,Constenla Umaña 2005
321,Maléku Jaíka,tʃa:,b,HEAD,Constenla Umaña 2005
322,Boruca,sàgɾá,b,HEAD,Constenla Umaña 2005
323,Bribri,uʊ̂kìd,,HEAD,Constenla Umaña 2005
324,Cabécar,tsã́kṹ,b,HEAD,Constenla Umaña 2005
325,Teribe,kógo,,HEAD,Constenla Umaña 2005
326,Ngäbere,dokwɔ,,HEAD,Constenla Umaña 2005
327,Boruca,tʃuga,c,HEAD,Constenla Umaña 2005
328,Dorasque,dukú,,HEAD,Constenla Umaña 2005
329,San Blas Kuna,nono,,HEAD,Constenla Umaña 2005
330,Cogui,'sankala,b,HEAD,Constenla Umaña 2005
331,Ika,sa'kuku,b,HEAD,Constenla Umaña 2005
332,Damana,ʃa'munku,b,HEAD,Constenla Umaña 2005
333,Chimila,ha:kɾa,,HEAD,Constenla Umaña 2005
334,Chibcha,tsɨskɨ,b,HEAD,Constenla Umaña 2005
335,Central Tunebo,'kwisa,,HEAD,Constenla Umaña 2005
336,Barí,sa:,b,HEAD,Constenla Umaña 2005
337,Lenca-Salvador,pit,,FALL (DOWN),Constenla Umaña 2005
338,Lenca-Honduras,kaɾau,,FALL (DOWN),Constenla Umaña 2005
339,Cacaopera,winwa'jam,,FALL (DOWN),Constenla Umaña 2005
340,Mayangna,buk,,FALL (DOWN),Constenla Umaña 2005
341,Ulua,wauhda,,FALL (DOWN),Constenla Umaña 2005
342,Mískito,kahw,,FALL (DOWN),Constenla Umaña 2005
343,Pech,ã̀h,a,FALL (DOWN),Constenla Umaña 2005
344,Rama,kaiɾk,,FALL (DOWN),Constenla Umaña 2005
345,Maléku Jaíka,mini:,,FALL (DOWN),Constenla Umaña 2005
346,Boruca,trùʔ,,FALL (DOWN),Constenla Umaña 2005
347,Bribri,ã́d,a,FALL (DOWN),Constenla Umaña 2005
348,Cabécar,hã́d,a,FALL (DOWN),Constenla Umaña 2005
349,Teribe,bɪgɪ́,,FALL (DOWN),Constenla Umaña 2005
350,Ngäbere,nɤtɤ,,FALL (DOWN),Constenla Umaña 2005
351,Boruca,hãɪ̃́,,FALL (DOWN),Constenla Umaña 2005
352,Dorasque,dudiglá,,FALL (DOWN),Constenla Umaña 2005
353,San Blas Kuna,aɾkwanne,,FALL (DOWN),Constenla Umaña 2005
354,Cogui,'pen,,FALL (DOWN),Constenla Umaña 2005
355,Ika,'waʔn,,FALL (DOWN),Constenla Umaña 2005
356,Damana,ʃeʒ,,FALL (DOWN),Constenla Umaña 2005
357,Chimila,'kutti,,FALL (DOWN),Constenla Umaña 2005
358,Chibcha,ma,,FALL (DOWN),Constenla Umaña 2005
359,Central Tunebo,tih'kan,,FALL (DOWN),Constenla Umaña 2005
360,Barí,sinakai,,FALL (DOWN),Constenla Umaña 2005
361,Lenca-Salvador,aʃa,a,HOT (WARM),Constenla Umaña 2005
362,Lenca-Honduras,siwa,,HOT (WARM),Constenla Umaña 2005
363,Cacaopera,dindinka,,HOT (WARM),Constenla Umaña 2005
364,Mayangna,dajni,b,HOT (WARM),Constenla Umaña 2005
365,Ulua,dajhka,b,HOT (WARM),Constenla Umaña 2005
366,Mískito,lapta,,HOT (WARM),Constenla Umaña 2005
367,Pech,patàʔok,,HOT (WARM),Constenla Umaña 2005
368,Rama,tuku:ba,c,HOT (WARM),Constenla Umaña 2005
369,Maléku Jaíka,toke:ʝa,c,HOT (WARM),Constenla Umaña 2005
370,Boruca,dʒìká,ch,HOT (WARM),Constenla Umaña 2005
371,Bribri,bâbbǎ,,HOT (WARM),Constenla Umaña 2005
372,Cabécar,buɪ́,,HOT (WARM),Constenla Umaña 2005
373,Teribe,kʰɺík,,HOT (WARM),Constenla Umaña 2005
374,Ngäbere,ŋiɾe,ch,HOT (WARM),Constenla Umaña 2005
375,Boruca,hute,,HOT (WARM),Constenla Umaña 2005
376,Dorasque,ubi,,HOT (WARM),Constenla Umaña 2005
377,San Blas Kuna,ueti,d,HOT (WARM),Constenla Umaña 2005
378,Cogui,'uanuakse,,HOT (WARM),Constenla Umaña 2005
379,Ika,'wiwi kawa,,HOT (WARM),Constenla Umaña 2005
380,Damana,wianʒɨnga,d,HOT (WARM),Constenla Umaña 2005
381,Chimila,we:,d,HOT (WARM),Constenla Umaña 2005
382,Chibcha,tʲiptupkwa,,HOT (WARM),Constenla Umaña 2005
383,Central Tunebo,kih'kitɾo,,HOT (WARM),Constenla Umaña 2005
384,Barí,asã́a,a,HOT (WARM),Constenla Umaña 2005
385,Lenca-Salvador,o,a,WALK,Constenla Umaña 2005
386,Lenca-Honduras,u,a,WALK,Constenla Umaña 2005
387,Cacaopera,diu,b,WALK,Constenla Umaña 2005
388,Mayangna,lapak,,WALK,Constenla Umaña 2005
389,Ulua,wa:tda,c,WALK,Constenla Umaña 2005
390,Mískito,wap,c,WALK,Constenla Umaña 2005
391,Pech,téʃ,b,WALK,Constenla Umaña 2005
392,Rama,ta:k,ch,WALK,Constenla Umaña 2005
393,Maléku Jaíka,ɸa:ki,,WALK,Constenla Umaña 2005
394,Boruca,dèk,b,WALK,Constenla Umaña 2005
395,Bribri,ʃka,d,WALK,Constenla Umaña 2005
396,Cabécar,ʃkɪ,d,WALK,Constenla Umaña 2005
397,Teribe,hɪ́k,,WALK,Constenla Umaña 2005
398,Ngäbere,nɔ̃,ch,WALK,Constenla Umaña 2005
399,Boruca,tʃage,ch,WALK,Constenla Umaña 2005
400,Dorasque,duɾi'ɾi:,,WALK,Constenla Umaña 2005
401,San Blas Kuna,nanae,ch,WALK,Constenla Umaña 2005
402,Cogui,'nai,b,WALK,Constenla Umaña 2005
403,Ika,'naʒ,b,WALK,Constenla Umaña 2005
404,Damana,naj,b,WALK,Constenla Umaña 2005
405,Chimila,dʒuʔu,,WALK,Constenla Umaña 2005
406,Chibcha,nɨn,ch,WALK,Constenla Umaña 2005
407,Central Tunebo,'benɾo,,WALK,Constenla Umaña 2005
408,Barí,ta:kta:k,,WALK,Constenla Umaña 2005
409,Lenca-Salvador,k'in,a,PATH (WAY),Constenla Umaña 2005
410,Lenca-Honduras,kin,a,PATH (WAY),Constenla Umaña 2005
411,Cacaopera,lap,,PATH (WAY),Constenla Umaña 2005
412,Mayangna,ta:,b,PATH (WAY),Constenla Umaña 2005
413,Ulua,ta:,b,PATH (WAY),Constenla Umaña 2005
414,Mískito,jabal,,PATH (WAY),Constenla Umaña 2005
415,Pech,ta:h,b,PATH (WAY),Constenla Umaña 2005
416,Rama,ŋunŋun,,PATH (WAY),Constenla Umaña 2005
417,Maléku Jaíka,ʝu:,,PATH (WAY),Constenla Umaña 2005
418,Boruca,néŋ,,PATH (WAY),Constenla Umaña 2005
419,Bribri,dʒaɺã́,c,PATH (WAY),Constenla Umaña 2005
420,Cabécar,dʒaɺã̀,c,PATH (WAY),Constenla Umaña 2005
421,Teribe,i᷅ɾbóbòŋ,ch,PATH (WAY),Constenla Umaña 2005
422,Ngäbere,hi,ch,PATH (WAY),Constenla Umaña 2005
423,Boruca,ho,,PATH (WAY),Constenla Umaña 2005
424,Dorasque,ʃi'ta,,PATH (WAY),Constenla Umaña 2005
