# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	COGID	COGIDS	MORPHEMES	ALIGNMENT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	INFOMAP
496	69_ash	ASH	Dorasque	Dorasque	bulku	bulku	b u l k u	dora1242	646	8.567442	-82.375717		90	0	?	b - u - l - - k u	1 7 5 1 7	AXMBZ	PYLKY	13	13.P.C 13.Y.V 13.L.c 13.K.C 13.Y.V	2.0 1.5 1.1 1.75 0.8	bulku	0	1
497	69_ash	ASH	SanBlasKuna	San Blas Kuna	puɾu	puɾu	p u ɾ u	sanb1242	646	9.15686	-78.3075		90	0	?	p - u - ɾ - u - -	1 7 5 7	AXBZ	PYRY	23	23.P.C 23.Y.V 23.R.C 23.Y.V	2.0 1.5 1.75 0.8	puɾu	0	4
498	69_ash	ASH	Cogui	Cogui	'muli	'muli	'm/m u l i	cogu1240	646	10.9485	-73.8043		90	0	?	'm/m - u - l - i - -	4 7 5 7	AXBZ	MYLI	12	12.M.C 12.Y.V 12.L.C 12.I.V	2.0 1.5 1.75 0.8	'm/muli	0	9
499	69_ash	ASH	Arhuaco	Arhuaco	'bunzəga	'bunzəga	'b/b u n z ə g a	arhu1242	646	10.7018	-73.6363		90	0	?	'b/b - u - n z ə g a	1 7 4 3 7 1 7	AXMBYBZ	PYNSEKA	1	1.P.C 1.Y.V 1.N.c 1.S.C 1.E.V 1.K.C 1.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	'b/bunzəga	0	1
500	69_ash	ASH	Malayo	Malayo	bɨn	bɨn	b ɨ n	mala1522	646	10.9286	-73.4056		90	0	?	b - ɨ - n - - - -	1 7 4	AXN	PIN	16	16.P.C 16.I.V 16.N.c	2.0 1.5 0.8	bɨn	0	3
501	69_ash	ASH	Chimila	Chimila	'buhŋaʔ	'buhŋaʔ	'b/b u h ŋ a ʔ	chim1309	646	10.1902	-74.2559		90	0	?	'b/b - u h ŋ - a ʔ -	1 7 3 4 7 1	AXBCYN	PYHNAH	11	11.P.C 11.Y.V 11.H.C 11.N.C 11.A.V 11.H.c	2.0 1.5 1.75 1.5 1.3 0.8	'b/buhŋaʔ	0	8
502	69_ash	ASH	Chibcha	Chibcha	βuskɨ	βuskɨ	β u s k ɨ	chib1270	646	6.24999	-74.1666		90	0	?	β - u - - s - k ɨ	3 7 3 1 7	AXMBZ	BYSKI	10	10.B.C 10.Y.V 10.S.c 10.K.C 10.I.V	2.0 1.5 1.1 1.75 0.8	βuskɨ	0	7
503	69_ash	ASH	CentralTunebo	Central Tunebo	'buɾa	'buɾa	'b/b u ɾ a	cent2150	646	6.8867	-72.097		90	0	?	'b/b - u - ɾ - a - -	1 7 5 7	AXBZ	PYRA	9	9.P.C 9.Y.V 9.R.C 9.A.V	2.0 1.5 1.75 0.8	'b/buɾa	0	4
504	69_ash	ASH	Bari	Barí	ibũdɪ̃	ibũdɪ̃	i b ũ d ɪ̃	bari1297	646	9.08497	-72.9353		90	0	?	- - i - b - ũ d ɪ̃	7 1 7 1 7	XBYBZ	IPYTI	3	3.I.V 3.P.C 3.Y.V 3.T.C 3.I.V	1.5 1.75 1.3 1.75 0.8	ibũdɪ̃	0	2
#
846	39_at	AT	Pech	Pech	jã́	jã́	j ã́/ã	pech1241	1461	15.8033	-85.558		155	0	?		6 7	AX	JA	21	21.J.C 21.A.V	2.0 1.5	jã́/ã	0	24
847	39_at	AT	Rama	Rama	ka	ka	k a	rama1270	1461	11.5007	-83.8571		152	0	?	- k a - -	1 7	AX	KA	22	22.K.C 22.A.V	2.0 1.5	ka	0	15
848	39_at	AT	MalekuJaika	Maléku Jaíka	ko	ko	k o	male1297	1461	10.7485	-84.7318		152	0	?	- k o - -	1 7	AX	KU	17	17.K.C 17.U.V	2.0 1.5	ko	0	15
849	39_at	AT	Boruca	Boruca	kà	kà	k à/a	boru1252	1461	8.88093	-83.2124		152	0	?	- k à/a - -	1 7	AX	KA	4	4.K.C 4.A.V	2.0 1.5	kà/a	0	15
850	39_at	AT	Bribri	Bribri	iã̀	iã̀	i ã̀/ã	brib1243	1461	9.39794	-83.0539		155	0	?		7 7	XZ	IA	5	5.I.V 5.A.V	1.5 0.8	iã̀/ã	0	16
851	39_at	AT	Cabecar	Cabécar	skà	skà	s k à/a	cabe1245	1461	9.67031	-83.4102		156	0	?		3 1 7	ACZ	SKA	7	7.S.C 7.K.C 7.A.V	2.0 1.5 0.8	skà/a	0	15
852	39_at	AT	Teribe	Teribe	ʃkò	ʃkò	ʃ k ò/o	teri1250	1461	9.067	-82.9631		156	0	?		3 1 7	ACZ	SKU	24	24.S.C 24.K.C 24.U.V	2.0 1.5 0.8	ʃkò/o	0	15
853	39_at	AT	Ngabere	Ngäbere	te	te	t e	ngab1239	1461	8.8251	-82.3911		447	0	?		1 7	AX	TE	20	20.T.C 20.E.V	2.0 1.5	te	0	23
854	39_at	AT	Buglere	Buglere	ske	ske	s k e	bugl1243	1461	8.57695	-81.25648		156	0	?		3 1 7	ACZ	SKE	6	6.S.C 6.K.C 6.E.V	2.0 1.5 0.8	ske	0	15
855	39_at	AT	Dorasque	Dorasque	ga	ga	g a	dora1242	1461	8.567442	-82.375717		152	0	?	- g a - -	1 7	AX	KA	13	13.K.C 13.A.V	2.0 1.5	ga	0	15
856	39_at	AT	SanBlasKuna	San Blas Kuna	ki	ki	k i	sanb1242	1461	9.15686	-78.3075		157	0	?	- k i	1 7	AX	KI	23	23.K.C 23.I.V	2.0 1.5	ki	0	15
857	39_at	AT	Cogui	Cogui	ka	ka	k a	cogu1240	1461	10.9485	-73.8043		152	0	?	- k a - -	1 7	AX	KA	12	12.K.C 12.A.V	2.0 1.5	ka	0	15
858	39_at	AT	Arhuaco	Arhuaco	ekɨ	ekɨ	e k ɨ	arhu1242	1461	10.7018	-73.6363		152	0	?	e k ɨ - -	7 1 7	XBZ	EKI	1	1.E.V 1.K.C 1.I.V	1.5 1.75 0.8	ekɨ	0	15
859	39_at	AT	Malayo	Malayo	ka	ka	k a	mala1522	1461	10.9286	-73.4056		152	0	?	- k a - -	1 7	AX	KA	16	16.K.C 16.A.V	2.0 1.5	ka	0	15
860	39_at	AT	Chimila	Chimila	la	la	l a	chim1309	1461	10.1902	-74.2559		154	0	?		5 7	AX	LA	11	11.L.C 11.A.V	2.0 1.5	la	0	20
861	39_at	AT	Chibcha	Chibcha	na	na	n a	chib1270	1461	6.24999	-74.1666		154	0	?		4 7	AX	NA	10	10.N.C 10.A.V	2.0 1.5	na	0	19
862	39_at	AT	CentralTunebo	Central Tunebo	kwi'taɾa	kwi'taɾa	k w i 't/t a ɾ a	cent2150	1461	6.8867	-72.097		446	0	?		1 6 7 1 7 5 7	ACXBYBZ	KWITARA	9	9.K.C 9.W.C 9.I.V 9.T.C 9.A.V 9.R.C 9.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	kwi't/taɾa	0	18
863	39_at	AT	Bari	Barí	aki	aki	a k i	bari1297	1461	9.08497	-72.9353		157	0	?	a k i	7 1 7	XBZ	AKI	3	3.A.V 3.K.C 3.I.V	1.5 1.75 0.8	aki	0	15
#
1371	48_bad	BAD	Pech	Pech	wàɾkwá	wàɾkwá	w à/a ɾ k w á/a	pech1241	1292	15.8033	-85.558		246	0	?	- w à/a ɾ k w á/a	6 7 5 1 6 7	AXMBCZ	WARKWA	21	21.W.C 21.A.V 21.R.c 21.K.C 21.W.C 21.A.V	2.0 1.5 1.1 1.75 1.5 0.8	wà/aɾkwá/a	0	40
1372	48_bad	BAD	Rama	Rama	kwahala	kwahala	k w a h a l a	rama1270	1292	11.5007	-83.8571		246	0	?	k w a h a l a	1 6 7 3 7 5 7	ACXBYBZ	KWAHALA	22	22.K.C 22.W.C 22.A.V 22.H.C 22.A.V 22.L.C 22.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	kwahala	0	41
1373	48_bad	BAD	MalekuJaika	Maléku Jaíka	eme: koka:ɾiŋa	eme: koka:ɾiŋa	e m e: + k o k a: ɾ i ŋ a	male1297	1292	10.7485	-84.7318		457	0	?		7 4 7 9 1 7 1 7 5 7 4 7	XBZ_AXBYBYBZ	EME_KUKARINA	17	17.E.V 17.M.C 17.E.V 17._._ 17.K.C 17.U.V 17.K.C 17.A.V 17.R.C 17.I.V 17.N.C 17.A.V	1.5 1.75 0.8 0.0 2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	eme:+koka:ɾiŋa	0	38
1374	48_bad	BAD	Boruca	Boruca	sádʒèŋ	sádʒèŋ	s á/a dʒ è/e ŋ	boru1252	1292	8.88093	-83.2124		449	0	?		3 7 1 7 4	AXBYN	SATEN	4	4.S.C 4.A.V 4.T.C 4.E.V 4.N.c	2.0 1.5 1.75 1.3 0.8	sá/adʒè/eŋ	0	27
1375	48_bad	BAD	Bribri	Bribri	suɺǔ	suɺǔ	s u ɺ ǔ/u	brib1243	1292	9.39794	-83.0539		245	0	?	s u ɺ ǔ/u -	3 7 5 7	AXBZ	SYRY	5	5.S.C 5.Y.V 5.R.C 5.Y.V	2.0 1.5 1.75 0.8	suɺǔ/u	0	28
1376	48_bad	BAD	Cabecar	Cabécar	saɺuí	saɺuí	s a ɺ u í/i	cabe1245	1292	9.67031	-83.4102		245	0	?	s a ɺ u í/i	3 7 5 7 7	AXBYZ	SARYI	7	7.S.C 7.A.V 7.R.C 7.Y.V 7.I.V	2.0 1.5 1.75 1.3 0.8	saɺuí/i	0	28
1377	48_bad	BAD	Teribe	Teribe	ó	ó	ó/o	teri1250	1292	9.067	-82.9631		461	0	?		7	X	U	24	24.U.V	1.5	ó/o	0	43
1378	48_bad	BAD	Ngabere	Ngäbere	kɔme	kɔme	k ɔ m e	ngab1239	1292	8.8251	-82.3911		459	0	?		1 7 4 7	AXBZ	KUME	20	20.K.C 20.U.V 20.M.C 20.E.V	2.0 1.5 1.75 0.8	kɔme	0	39
1379	48_bad	BAD	Buglere	Buglere	me no	me no	m e + n o	bugl1243	1292	8.57695	-81.25648		450	0	?		4 7 9 4 7	AX_AX	ME_NU	6	6.M.C 6.E.V 6._._ 6.N.C 6.U.V	2.0 1.5 0.0 2.0 1.5	me+no	0	29
1380	48_bad	BAD	Dorasque	Dorasque	irógla	irógla	i r ó/o g l a	dora1242	1292	8.567442	-82.375717		455	0	?		7 5 7 1 5 7	XBYBCZ	IRUKLA	13	13.I.V 13.R.C 13.U.V 13.K.C 13.L.C 13.A.V	1.5 1.75 1.3 1.75 1.5 0.8	iró/ogla	0	34
1381	48_bad	BAD	SanBlasKuna	San Blas Kuna	itʃakkwakwa	itʃakkwakwa	i tʃ a k k w a k w a	sanb1242	1292	9.15686	-78.3075		460	0	?		7 1 7 1 1 6 7 1 6 7	XBYMBCYBCZ	ITAKKWAKWA	23	23.I.V 23.T.C 23.A.V 23.K.c 23.K.C 23.W.C 23.A.V 23.K.C 23.W.C 23.A.V	1.5 1.75 1.3 1.1 1.75 1.5 1.3 1.75 1.5 0.8	itʃakkwakwa	0	42
1382	48_bad	BAD	Cogui	Cogui	'ʃane	'ʃane	'ʃ/ʃ a n e	cogu1240	1292	10.9485	-73.8043		454	0	?		3 7 4 7	AXBZ	SANE	12	12.S.C 12.A.V 12.N.C 12.E.V	2.0 1.5 1.75 0.8	'ʃ/ʃane	0	33
1383	48_bad	BAD	Arhuaco	Arhuaco	du naʔ neika	du naʔ neika	d u + n a ʔ + n e i k a	arhu1242	1292	10.7018	-73.6363		247	0	?	d u + n a ʔ + - - n e i k a	1 7 9 4 7 1 9 4 7 7 1 7	AX_AXN_AXYBZ	TY_NAH_NEIKA	1	1.T.C 1.Y.V 1._._ 1.N.C 1.A.V 1.H.c 1._._ 1.N.C 1.E.V 1.I.V 1.K.C 1.A.V	2.0 1.5 0.0 2.0 1.5 0.8 0.0 2.0 1.5 1.3 1.75 0.8	du+naʔ+neika	0	25
1384	48_bad	BAD	Malayo	Malayo	unanduanéka	unanduanéka	u n a n d u a n é/e k a	mala1522	1292	10.9286	-73.4056		247	0	?	- u - n a n d u a n é/e - k a	7 4 7 4 1 7 7 4 7 1 7	XBYMBYYBYBZ	YNANTYANEKA	16	16.Y.V 16.N.C 16.A.V 16.N.c 16.T.C 16.Y.V 16.A.V 16.N.C 16.E.V 16.K.C 16.A.V	1.5 1.75 1.3 1.1 1.75 1.3 1.3 1.75 1.3 1.75 0.8	unanduané/eka	0	37
1385	48_bad	BAD	Chimila	Chimila	dʒo:ta	dʒo:ta	dʒ o: t a	chim1309	1292	10.1902	-74.2559		453	0	?		1 7 1 7	AXBZ	TUTA	11	11.T.C 11.U.V 11.T.C 11.A.V	2.0 1.5 1.75 0.8	dʒo:ta	0	26
1386	48_bad	BAD	Chibcha	Chibcha	atʲuentsa	atʲuentsa	a tʲ u e n t s a	chib1270	1292	6.24999	-74.1666		452	0	?		7 1 7 7 4 1 3 7	XBYYMBCZ	ATYENTSA	10	10.A.V 10.T.C 10.Y.V 10.E.V 10.N.c 10.T.C 10.S.C 10.A.V	1.5 1.75 1.3 1.3 1.1 1.75 1.5 0.8	atʲuentsa	0	32
1387	48_bad	BAD	CentralTunebo	Central Tunebo	aj batɾo	aj batɾo	a j + b a t ɾ o	cent2150	1292	6.8867	-72.097		451	0	?		7 6 9 1 7 1 5 7	XN_AXBCZ	AJ_PATRU	9	9.A.V 9.J.c 9._._ 9.P.C 9.A.V 9.T.C 9.R.C 9.U.V	1.5 0.8 0.0 2.0 1.5 1.75 1.5 0.8	aj+batɾo	0	31
1388	48_bad	BAD	Bari	Barí	atakkasu	atakkasu	a t a k k a s u	bari1297	1292	9.08497	-72.9353		448	0	?		7 1 7 1 1 7 3 7	XBYMBYBZ	ATAKKASY	3	3.A.V 3.T.C 3.A.V 3.K.c 3.K.C 3.A.V 3.S.C 3.Y.V	1.5 1.75 1.3 1.1 1.75 1.3 1.75 0.8	atakkasu	0	26
#
631	2_bark	BARK	Pech	Pech	kã́wã̀	kã́wã̀	k ã́/ã w ã̀/ã	pech1241	1204	15.8033	-85.558		468	0	?		1 7 6 7	AXBZ	KAWA	21	21.K.C 21.A.V 21.W.C 21.A.V	2.0 1.5 1.75 0.8	kã́/ãwã̀/ã	0	54
632	2_bark	BARK	Rama	Rama	u:k	u:k	u: k	rama1270	1204	11.5007	-83.8571		118	0	?	- - - u: k - -	7 1	XN	YK	22	22.Y.V 22.K.c	1.5 0.8	u:k	0	49
633	2_bark	BARK	MalekuJaika	Maléku Jaíka	leki:	leki:	l e k i:	male1297	1204	10.7485	-84.7318		466	0	?		5 7 1 7	AXBZ	LEKI	17	17.L.C 17.E.V 17.K.C 17.I.V	2.0 1.5 1.75 0.8	leki:	0	47
634	2_bark	BARK	Boruca	Boruca	kuáʔs	kuáʔs	k u á/a ʔ s	boru1252	1204	8.88093	-83.2124		118	0	?	- k - u á/a ʔ s	1 7 7 1 3	AXYBC	KYAHS	4	4.K.C 4.Y.V 4.A.V 4.H.C 4.S.C	2.0 1.5 1.3 1.75 1.5	kuá/aʔs	0	46
635	2_bark	BARK	Bribri	Bribri	axkuʊ́	axkuʊ́	a x k u ʊ́/ʊ	brib1243	1204	9.39794	-83.0539		118	0	?	a x k u ʊ́/ʊ - -	7 3 1 7 7	XMBYZ	AGKYY	5	5.A.V 5.G.c 5.K.C 5.Y.V 5.Y.V	1.5 1.1 1.75 1.3 0.8	axkuʊ́/ʊ	0	47
636	2_bark	BARK	Cabecar	Cabécar	hkuʊ́	hkuʊ́	h k u ʊ́/ʊ	cabe1245	1204	9.67031	-83.4102		118	0	?	h k - u ʊ́/ʊ - -	3 1 7 7	ACYZ	HKYY	7	7.H.C 7.K.C 7.Y.V 7.Y.V	2.0 1.5 1.3 0.8	hkuʊ́/ʊ	0	47
637	2_bark	BARK	Teribe	Teribe	kuótà	kuótà	k u ó/o t à/a	teri1250	1204	9.067	-82.9631		118	0	?	- k - u ó/o t à/a	1 7 7 1 7	AXYBZ	KYUTA	24	24.K.C 24.Y.V 24.U.V 24.T.C 24.A.V	2.0 1.5 1.3 1.75 0.8	kuó/otà/a	0	48
638	2_bark	BARK	Ngabere	Ngäbere	kwata	kwata	k w a t a	ngab1239	1204	8.8251	-82.3911		118	0	?	- k - w a t a	1 6 7 1 7	ACXBZ	KWATA	20	20.K.C 20.W.C 20.A.V 20.T.C 20.A.V	2.0 1.5 1.5 1.75 0.8	kwata	0	48
639	2_bark	BARK	Buglere	Buglere	kwaɾa	kwaɾa	k w a ɾ a	bugl1243	1204	8.57695	-81.25648		118	0	?	- k - w a ɾ a	1 6 7 5 7	ACXBZ	KWARA	6	6.K.C 6.W.C 6.A.V 6.R.C 6.A.V	2.0 1.5 1.5 1.75 0.8	kwaɾa	0	48
640	2_bark	BARK	Dorasque	Dorasque	ugá	ugá	u g á/a	dora1242	1204	8.567442	-82.375717		118	0	?	u g - á/a - - -	7 1 7	XBZ	YKA	13	13.Y.V 13.K.C 13.A.V	1.5 1.75 0.8	ugá/a	0	47
641	2_bark	BARK	SanBlasKuna	San Blas Kuna	ukka	ukka	u k k a	sanb1242	1204	9.15686	-78.3075		118	0	?	u k - k a - -	7 1 1 7	XMBZ	YKKA	23	23.Y.V 23.K.c 23.K.C 23.A.V	1.5 1.1 1.75 0.8	ukka	0	47
642	2_bark	BARK	Cogui	Cogui	huba	huba	h u b a	cogu1240	1204	10.9485	-73.8043		119	0	?	h u b a	3 7 1 7	AXBZ	HYPA	12	12.H.C 12.Y.V 12.P.C 12.A.V	2.0 1.5 1.75 0.8	huba	0	44
643	2_bark	BARK	Arhuaco	Arhuaco	'zomɨ	'zomɨ	'z/z o m ɨ	arhu1242	1204	10.7018	-73.6363		120	0	?	'z/z o m ɨ	3 7 4 7	AXBZ	SUMI	1	1.S.C 1.U.V 1.M.C 1.I.V	2.0 1.5 1.75 0.8	'z/zomɨ	0	44
644	2_bark	BARK	Malayo	Malayo	ʒoma	ʒoma	ʒ o m a	mala1522	1204	10.9286	-73.4056		120	0	?	ʒ o m a	3 7 4 7	AXBZ	SUMA	16	16.S.C 16.U.V 16.M.C 16.A.V	2.0 1.5 1.75 0.8	ʒoma	0	44
645	2_bark	BARK	Chimila	Chimila	ma:nta	ma:nta	m a: n t a	chim1309	1204	10.1902	-74.2559		463	0	?		4 7 4 1 7	AXMBZ	MANTA	11	11.M.C 11.A.V 11.N.c 11.T.C 11.A.V	2.0 1.5 1.1 1.75 0.8	ma:nta	0	50
646	2_bark	BARK	Chibcha	Chibcha	huka	huka	h u k a	chib1270	1204	6.24999	-74.1666		119	0	?	h u k a	3 7 1 7	AXBZ	HYKA	10	10.H.C 10.Y.V 10.K.C 10.A.V	2.0 1.5 1.75 0.8	huka	0	47
647	2_bark	BARK	CentralTunebo	Central Tunebo	u'ma	u'ma	u 'm/m a	cent2150	1204	6.8867	-72.097		119	0	?	- u 'm/m a	7 4 7	XBZ	YMA	9	9.Y.V 9.M.C 9.A.V	1.5 1.75 0.8	u'm/ma	0	44
648	2_bark	BARK	Bari	Barí	aɨksu	aɨksu	a ɨ k s u	bari1297	1204	9.08497	-72.9353		462	0	?		7 7 1 3 7	XYBCZ	AIKSY	3	3.A.V 3.I.V 3.K.C 3.S.C 3.Y.V	1.5 1.3 1.75 1.5 0.8	aɨksu	0	45
#
988	66_big	BIG	Pech	Pech	àʔká	àʔká	à/a ʔ k á/a	pech1241	1202	15.8033	-85.558		475	0	?		7 1 1 7	XMBZ	AHKA	21	21.A.V 21.H.c 21.K.C 21.A.V	1.5 1.1 1.75 0.8	à/aʔká/a	0	70
989	66_big	BIG	Rama	Rama	ta:ɾa	ta:ɾa	t a: ɾ a	rama1270	1202	11.5007	-83.8571		182	0	?		1 7 5 7	AXBZ	TARA	22	22.T.C 22.A.V 22.R.C 22.A.V	2.0 1.5 1.75 0.8	ta:ɾa	0	59
990	66_big	BIG	MalekuJaika	Maléku Jaíka	ni:kaŋe:	ni:kaŋe:	n i: k a ŋ e:	male1297	1202	10.7485	-84.7318		473	0	?		4 7 1 7 4 7	AXBYBZ	NIKANE	17	17.N.C 17.I.V 17.K.C 17.A.V 17.N.C 17.E.V	2.0 1.5 1.75 1.3 1.75 0.8	ni:kaŋe:	0	67
991	66_big	BIG	Boruca	Boruca	kɾíʔ	kɾíʔ	k ɾ í/i ʔ	boru1252	1202	8.88093	-83.2124		183	0	?	k ɾ í/i ʔ	1 5 7 1	ACXN	KRIH	4	4.K.C 4.R.C 4.I.V 4.H.c	2.0 1.5 1.5 0.8	kɾí/iʔ	0	57
992	66_big	BIG	Bribri	Bribri	bɪ̌diè	bɪ̌diè	b ɪ̌/ɪ d i è/e	brib1243	1202	9.39794	-83.0539		470	0	?		1 7 1 7 7	AXBYZ	PITIE	5	5.P.C 5.I.V 5.T.C 5.I.V 5.E.V	2.0 1.5 1.75 1.3 0.8	bɪ̌/ɪdiè/e	0	58
993	66_big	BIG	Cabecar	Cabécar	tã́ĩ́	tã́ĩ́	t ã́/ã ĩ́/ĩ	cabe1245	1202	9.67031	-83.4102		184	0	?	- t ã́/ã - ĩ́/ĩ	1 7 7	AXZ	TAI	7	7.T.C 7.A.V 7.I.V	2.0 1.5 0.8	tã́/ãĩ́/ĩ	0	59
994	66_big	BIG	Teribe	Teribe	kɪ́s	kɪ́s	k ɪ́/ɪ s	teri1250	1202	9.067	-82.9631		477	0	?		1 7 3	AXN	KIS	24	24.K.C 24.I.V 24.S.c	2.0 1.5 0.8	kɪ́/ɪs	0	72
995	66_big	BIG	Ngabere	Ngäbere	kɾi	kɾi	k ɾ i	ngab1239	1202	8.8251	-82.3911		183	0	?	k ɾ i -	1 5 7	ACX	KRI	20	20.K.C 20.R.C 20.I.V	2.0 1.5 1.5	kɾi	0	57
996	66_big	BIG	Buglere	Buglere	kweɾi	kweɾi	k w e ɾ i	bugl1243	1202	8.57695	-81.25648		185	0	?	k w e ɾ i - - -	1 6 7 5 7	ACXBZ	KWERI	6	6.K.C 6.W.C 6.E.V 6.R.C 6.I.V	2.0 1.5 1.5 1.75 0.8	kweɾi	0	57
997	66_big	BIG	Dorasque	Dorasque	óci	óci	ó/o c i	dora1242	1202	8.567442	-82.375717		471	0	?		7 1 7	XBZ	UCI	13	13.U.V 13.C.C 13.I.V	1.5 1.75 0.8	ó/oci	0	64
998	66_big	BIG	SanBlasKuna	San Blas Kuna	tumma	tumma	t u m m a	sanb1242	1202	9.15686	-78.3075		476	0	?		1 7 4 4 7	AXMBZ	TYMMA	23	23.T.C 23.Y.V 23.M.c 23.M.C 23.A.V	2.0 1.5 1.1 1.75 0.8	tumma	0	71
999	66_big	BIG	Cogui	Cogui	a'tema	a'tema	a 't/t e m a	cogu1240	1202	10.9485	-73.8043		184	0	?	a 't/t e m a	7 1 7 4 7	XBYBZ	ATEMA	12	12.A.V 12.T.C 12.E.V 12.M.C 12.A.V	1.5 1.75 1.3 1.75 0.8	a't/tema	0	63
1000	66_big	BIG	Arhuaco	Arhuaco	a'wənʔ kawa	a'wənʔ kawa	a 'w/w ə n ʔ + k a w a	arhu1242	1202	10.7018	-73.6363		469	0	?		7 6 7 4 1 9 1 7 6 7	XBYLN_AXBZ	AWENH_KAWA	1	1.A.V 1.W.C 1.E.V 1.N.c 1.H.c 1._._ 1.K.C 1.A.V 1.W.C 1.A.V	1.5 1.75 1.3 1.1 0.8 0.0 2.0 1.5 1.75 0.8	a'w/wənʔ+kawa	0	55
1001	66_big	BIG	Malayo	Malayo	aiku'ia	aiku'ia	a i k u 'i/i a	mala1522	1202	10.9286	-73.4056		472	0	?		7 7 1 7 7 7	XYBYYZ	AIKYIA	16	16.A.V 16.I.V 16.K.C 16.Y.V 16.I.V 16.A.V	1.5 1.3 1.75 1.3 1.3 0.8	aiku'i/ia	0	66
